Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location
2012950005978,324210,674140,-3.215368,55.954328,95,2,2,1,26/10/2012,6,19:50:00,923,S12000036,3,90,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,
2012950005979,325230,674410,-3.199111,55.956914,95,3,2,1,26/10/2012,6,17:30:00,923,S12000036,5,0,6,30,6,4,6,0,0,0,4,1,1,0,0,1,1,
2012950005980,320810,671000,-3.268883,55.925573,95,3,1,1,26/10/2012,6,07:00:00,923,S12000036,5,0,6,30,0,-1,-1,0,0,0,4,1,4,0,0,1,2,
2012950005981,319290,673090,-3.293827,55.944094,95,3,3,1,23/10/2012,3,16:05:00,923,S12000036,4,701,6,30,0,-1,-1,0,0,0,1,8,2,0,0,1,1,
2012950005987,331680,665780,-3.093643,55.880349,95,2,2,1,27/10/2012,7,22:00:00,929,S12000019,3,6094,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,
2012950005988,329980,674000,-3.122944,55.953947,95,3,3,5,27/10/2012,7,11:42:00,923,S12000036,6,0,6,40,0,-1,-1,0,0,4,1,1,1,0,0,1,1,
2012950005989,317120,642030,-3.319092,55.66472,95,3,2,1,26/10/2012,6,23:05:00,914,S12000026,3,72,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,
2012950005990,326230,676380,-3.183639,55.974765,95,3,2,1,27/10/2012,7,18:30:00,923,S12000036,6,0,6,30,6,4,6,0,0,0,4,2,2,0,0,1,1,
2012950005996,306320,669990,-3.500341,55.913896,95,3,4,2,27/10/2012,7,12:45:00,940,S12000040,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,
2012950006002,361410,646090,-2.615661,55.706745,95,3,1,1,28/10/2012,1,09:15:00,914,S12000026,3,6089,6,60,0,-1,-1,0,0,0,1,1,2,0,0,2,1,
